|Date received|Product|Sub-product|Issue|Sub-issue|Consumer complaint narrative|Company public response|Company|State|ZIP code|Tags|Consumer consent provided?|Submitted via|Date sent to company|Company response to consumer|Timely response?|Consumer disputed?|Complaint ID
28|10/30/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Old information reappears or never goes away|"Equifax has willfully and negligently violated multiple provisions of the Fair Credit Reporting Act ( FCRA ), including but not limited to 1681i ( a ) ( 1 ) ( failure to reinvestigate disputed information within the statutory 30-day period ), 1681c-2 ( failure to block information resulting from identity theft ), and 1681e ( b ) ( failure to maintain reasonable procedures to assure maximum possible accuracy ). 

I am a verified victim of identity theft, as evidenced by the official FTC Identity Theft Report ( FTC Report No. XXXX ). The fraudulent XXXX XXXX XXXXXXXX ( XXXX XXXX ) account ( No. XXXXXXXX XXXX XXXX XXXX XXXX XXXX was opened without my authorization and was previously removed from my credit report after investigation. Despite its verified fraudulent status and confirmed removal, this same account reappeared on my Equifax credit report, reported once again as Charge-off / Derogatory. 

Equifax has demonstrated a gross disregard for the law by reintroducing deleted fraudulent data. This constitutes republication of inaccurate and disputed information a direct breach of FCRA 1681s-2 ( b ) and CDIA guidelines governing accuracy and reinvestigation procedures. 

Furthermore, Equifax has failed to provide a substantive response to my CFPB complaint ( filed XX/XX/year> ). As of this date, the CFPB portal still indicates Company response in progress, well past the 30-day statutory deadline. This failure to respond represents a flagrant violation of CFPB complaint handling procedures and reinforces the pattern of negligence and non-compliance. 

This repeated misconduct has caused me measurable harm, including emotional distress, reputational damage, and denial of credit opportunities. Equifaxs continued inaction is indefensible and demonstrates contempt for federal consumer protection standards."||EQUIFAX, INC.|FL|33180||Consent provided|Web|10/30/25|Closed with non-monetary relief|Yes||16915719
29|07/25/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"This is a follow-up to my previous written dispute regarding fraudulent accounts and inquiries appearing on my consumer report. Per FCRA 605B ( 15 U.S.C. 1681c-2 ), you are required to block all information resulting from identity theft within XXXX business days of receipt. 
The following accounts and inquiries do NOT belong to me and were obtained fraudulently without my consent : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|TX|75056||Consent provided|Web|07/25/25|Closed with explanation|Yes||14877081
30|02/21/24|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Was not notified of investigation status or results|I am writing to formally dispute a late payment entry that has appeared on my credit report. The report indicates a late payment in my credit report, which I strongly believe is erroneous and not verified. Throughout my financial history with the financial agencies I am doing business with, I have consistently met all payment deadlines without fail. Therefore, the presence of this late payment is undoubtedly a result of a billing error on the part of the creditor. I request a thorough investigation into this matter to verify the accuracy of the reported late payment and urge for its prompt correction. It is imperative that such inaccuracies are rectified swiftly, as they impact my financial standing and credibility. I have contacted the financial agencies in the last more than 30 days to seek clarification but I got no response because this is erroneously reported for they have provided NO PROOF that there was a REAL late payment. Your immediate attention to this matter is greatly appreciated.||EQUIFAX, INC.|FL|34232||Consent provided|Web|02/21/24|Closed with non-monetary relief|Yes||8393039
31|10/30/24|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I recently reviewed my consumer report and identified several inaccuracies that must be corrected immediately. These errors have caused me significant distress, and I demand swift resolution to ensure my consumer rights under the Fair Credit Reporting Act ( FCRA ) are upheld.||EQUIFAX, INC.|LA|70808||Consent provided|Web|10/30/24|Closed with non-monetary relief|Yes||10625435
32|07/08/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with fraud alerts or security freezes||I am writing to request a security freeze on my credit report in accordance with my rights under the Fair Credit Reporting Act ( FCRA ). This freeze is necessary as I am currently disputing inaccurate information on my credit file and want to ensure the security and accuracy of my report during this process.||EQUIFAX, INC.|FL|322XX||Consent provided|Web|07/08/25|Closed with explanation|Yes||14493319
33|04/02/24|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Difficulty submitting a dispute or getting information about a dispute over the phone|"I am writing to file a complaint regarding my inability to log on to the TransUnion website to submit a dispute about inaccuracies on my consumer report. This issue is negatively impacting my credit score and financial well-being, and I am seeking assistance in resolving it promptly.

Despite multiple attempts to access the TransUnion website to submit a dispute, I have encountered persistent login errors and technical issues preventing me from starting the process. As a result, I have been unable to address inaccuracies on my consumer report that are adversely affecting my credit score. 

The inaccuracies on my consumer report are XXXX XXXX [ Account Number : XXXX ] and XXXX XXXX [ Account Number : XXXX ] who has been reporting inaccurate information without proof to TransUnion. These inaccuracies are inaccurate and unfair, and I am eager to have them corrected as soon as possible. 

I have made diligent efforts to resolve this issue on my own, including contacting TransUnion customer support for assistance, but have been unable to find a resolution. Therefore, I am reaching out to the Consumer Financial Protection Bureau ( CFPB ) for assistance in addressing this matter. 

I kindly request that the CFPB intervene and work with TransUnion to resolve the technical issues preventing me from accessing the website to submit a dispute. Additionally, I request that TransUnion provide legitimate reasons as to why I can't submit my disputes online through their website. 

I appreciate your attention in this matter and your assistance in resolving this issue promptly. Please do not hesitate to contact me if you require any further information regarding my complaint. 

Thank you for your prompt attention to this urgent matter."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|NY|10562||Consent provided|Web|04/02/24|Closed with non-monetary relief|Yes||8669628
34|10/13/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|"On XX/XX/XXXX, XXXX XXXX XXXX XXXX XXXX/ XXXX XXXX XXXX  ) initiated hard credit inquiries with all XXXX  major credit bureaus ( TransUnion, Experian, and Equifax ) without any permissible purpose or authorization. 

There was no new credit application or consent. My account was already in delinquency and under federally documented XXXX and Section XXXX civil-rights complaints filed with DOJ, XXXX XXXX XXXX CFPB, and FTC. The Experian record was coded XXXX XXXX XXXX XXXX, confirming a portfolio-level access unrelated to any consumer-initiated request. 

In addition, XXXX XXXX furnished false information by marking my account Affected by XXXX XXXX. No XXXX or XXXX declaration applies to me. This false XXXX XXXX reporting code ( XXXX XXXX XXXX ) is misleading and has damaged my credit profile. 

These actions violate FCRA 604 ( a ) ( 3 ) ( no permissible purpose ) and 623 ( a ) ( 1 ) ( inaccurate furnishing ). Because they occurred after protected XXXX and Section XXXX activity, they also constitute retaliation under XXXX XXXX ( a ) and Section XXXX of the XXXX XXXX of XXXX. 

XXXX XXXX XXXX and XXXX XXXXXXXX XXXX XXXXXXXX XXXX financial assistance through FDIC-insured banking and related federal programs, bringing them within Section XXXX jurisdiction. 

Impact : My credit scores have fallen sharply since XX/XX/XXXX and continue to drop following these unauthorized hard inquiries and false reporting : Experian XXXX XXXX XXXX TransUnion XXXX XXXX Equifax XXXX XXXX The XX/XX/XXXX inquiries triggered an additional decline, compounding earlier losses. This ongoing damage has impaired my ability to obtain credit and maintain favorable terms. 

Requested action : XXXX. Delete or reclassify the XX/XX/XXXX inquiries as soft pulls. 
XXXX. Remove the XXXX XXXX coding. 
XXXX. XXXX XXXX XXXX XXXX to produce documentation of its claimed permissible-purpose for each inquiry."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|VA|23116||Consent provided|Web|10/13/25|Closed with explanation|Yes||16528665
35|10/02/23|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I noticed an account on my credit report that does not belong to me ; NATLCRSYS ( Original Creditor : XXXX XXXX XXXX XXXX XXXX ) I filed an identity theft report as well as disputed with all 3 bureaus.||National Credit Systems,Inc.|FL|32750||Consent provided|Web|10/02/23|Closed with explanation|Yes||7620950
36|06/13/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|Upon reviewing my credit report, I have identified inaccurate accounts that need reporting and correction through your company.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|TX|761XX||Consent provided|Web|06/13/25|Closed with explanation|Yes||14072872
37|05/17/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"Subject : Formal Dispute of Inaccurate Information in Credit Report Pursuant to FCRA 602, 609, 611, and 623 Dear [ Credit Bureau/CFPB Representative ], I am writing to formally dispute inaccurate, outdated, and unverifiable information currently listed on my credit report. As provided under the Fair Credit Reporting Act ( FCRA ), including 602, 609 ( a ), 611 ( a ), and 623 ( b ), I am exercising my right to request the deletion or correction of any incorrect information.

Problem Overview After reviewing my credit reports from the XXXX  major credit bureaus, I have identified multiple errors negatively affecting my credit profile, including : Unauthorized names and employers listed under my identity Derogatory accounts that are inaccurate, outdated, or not mine Hard inquiries I did not authorize or recognize These inaccuracies have significantly impacted my credit score and financial reputation. It is essential that my file be corrected to ensure fair and accurate reporting as outlined in the FCRA."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|NC|27527||Consent provided|Web|05/17/25|Closed with non-monetary relief|Yes||13571980
38|05/08/24|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"I am writing to follow up my previous dispute about fraudulent activity on my credit report due to identity theft. Upon reviewing my credit report, I have discovered accounts and transactions that I did not authorize or initiate. It is evident that my personal information has been compromised, and I request your immediate assistance in resolving this matter. 

I hereby declare that I did not authorize any of the aforementioned accounts, transactions, or inquiries. This constitutes identity theft, and I request that you promptly investigate this matter, remove the inaccurate information from my Credit report. I urge you to conduct a thorough investigation into the fraudulent activity on my credit report and take immediate action to remove the unauthorized accounts and transactions."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|FL|32824||Consent provided|Web|05/08/24|Closed with non-monetary relief|Yes||8957760
39|11/05/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"I am a consumer who is actively working to improve my credit, and I am disputing the following items on my Experian credit report. I respectfully request that you investigate these items to ensure the information is accurate and complies with the Fair Credit Reporting Act ( FCRA ). If any of the information can not be verified, I request that it be removed from my report. 

CHARGED OFF I am disputing the following charged-off account ( s ) with Experian as they appear inaccurately on my credit report : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX INQUIRIES I am disputing the following inquiries on my credit report, as they were either unauthorized or inaccurate : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|TX|77449||Consent provided|Web|11/05/25|Closed with explanation|Yes||17036957
40|11/15/24|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|I am listing accounts below that have been reported inaccurately on my credit report. In compliance with the Fair Credit Reporting Act and as a gesture of respect to the Federal Trade Commission Committee on accuracy and completeness of credit information I am formally writing in today to dispute negative information appearing on my credit. This incorrect information is greatly hindering me from getting the credit score I deserve and hopefully, this letter will resolve all the issues on my credit. I demand to see Verifiable Proof ( an original Consumer Contract with my Signature on it ) of the accounts listed below. Your failure to positively verify these accounts has hurt my ability to obtain credit.||EQUIFAX, INC.|TX|75052||Consent provided|Web|11/15/24|Closed with explanation|Yes||10815652
41|02/03/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|I am filing a complaint against Equifax for failing to properly investigate my disputes regarding inaccuracies in my credit report. Despite my submissions, Equifax consistently responds within 24 hours stating the account is accurate, without providing any evidence of a thorough investigation. This practice violates the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681i, which mandates a reasonable investigation of disputes. Furthermore, Equifax 's actions may also contravene the Consumer Financial Protection Act ( CFPA ), 12 U.S.C. 5536 ( a ) ( 1 ) ( A ) - ( B ), as highlighted in the CFPB 's recent administrative proceeding ( File No. XXXX ) against them for similar violations. I request that the CFPB take action to ensure Equifax complies with federal law and provides consumers with the necessary proof of investigation.||EQUIFAX, INC.|MI|48044||Consent provided|Web|02/03/25|Closed with explanation|Yes||11891482
42|10/02/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|"I am submitting this complaint to follow up on my previous disputes regarding multiple billing and payment inaccuracies appearing on my credit reports with TransUnion, Experian, and Equifax. These inaccuracies involve accounts reported with late payments and balances that are inconsistent with my payment history and records. I am filing this complaint under the Fair Credit Reporting Act ( FCRA ) and 15 U.S.C. 1666, which protect consumers against billing and reporting errors and require thorough investigations and corrections of inaccurate information. 

The following accounts are being inaccurately reported : XXXX XXXX XXXX Balance : {$9800.00} | Last Payment Date : XX/XX/XXXX | Reported Late : 90 days ( XX/XX/XXXX ) and 120 days ( XX/XX/XXXX ). 
These reported late payments can not be verified through my financial records. There is no documentation supporting these delinquencies, making them inaccurate and unverifiable. 

XXXX XXXX XXXX XXXX : {$240000.00} | Opened : XX/XX/XXXX | Last Payment : XX/XX/XXXX | Reported Late : 30 days ( XX/XX/XXXX ). 
I reviewed my account statements and found no evidence of any delinquency. The reporting of this late payment is inaccurate and misrepresents my payment history. 

XXXX XXXX XXXX XXXX : {$20000.00} | Opened : XX/XX/XXXX | Reported Late : 30 days ( XX/XX/XXXX & XX/XX/XXXX ), 60 days ( XX/XX/XXXX ), 90 days ( XXXX XXXX ), and 120 days ( XX/XX/XXXX ). 
These reported late payments are unverifiable and inconsistent with my payment records."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|GA|30101||Consent provided|Web|10/02/25|Closed with explanation|Yes||16303874
43|06/15/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"I am disputing the following accounts and/or inquiries reporting on my credit profile. These accounts are being reported inaccurately and without proper verification. Some of the accounts were opened without my authorization, and others contain false or unverifiable information.

This is a violation of the Fair Credit Reporting Act ( FCRA ) under 15 USC 1681 and 605 ( b ), which states that only accurate, complete, and verifiable information should be reported.

I have attached my FTC Identity Theft Report along with supporting documentation ( ID, SSN, utility bill ) as proof. I am requesting that these accounts and inquiries be investigated and removed immediately from my credit report."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|CITIBANK, N.A.|AL|35124||Consent provided|Web|06/15/25|Closed with explanation|Yes||14090827
44|10/06/25|Money transfer, virtual currency, or money service|Domestic (US) money transfer|Other transaction problem||I am writing to formally express my concerns regarding Zelles handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was infeasible. The CFPBS findings indicate that Zelle has not only neglected to protect consumers but has also allowed repeat offenders to exploit the system, leaving users vulnerable to scams. This lack of accountability and transparency is unacceptable and raises serious concerns about consumer safety.||Early Warning Services, LLC|IL|60466||Consent provided|Web|10/06/25|Closed with explanation|Yes||16393498
45|02/22/24|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|Per the FCRA, as a federally protected consumer, I am now opting out of any and all authorization, I the consumer may have given you written, unwritten, verbal, and nonverbal per 15 USC 6802.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|IL|60660||Consent provided|Web|02/22/24|Closed with explanation|Yes||8403880
46|05/08/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account information incorrect|""" I wish to express my deep disappointment regarding the reporting provided by your organization, as documented in the enclosed document. It is regrettable to note that the aforementioned reporting falls significantly short of being comprehensive and fails to meet the standards I deem essential. As mandated by the law, it is crucial for both your esteemed entity and the data furnishers involved to undertake the certification of all facets pertaining to the obligatory Fair Credit Reporting Act ( FCRA ) and Metro 2 compliance. This certification must be executed with utmost integrity, accuracy, thoroughness, and timeliness, so as to avoid any inadvertent violation or infringement upon my consumer and civil rights """|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|MS|388XX||Consent provided|Web|05/08/25|Closed with non-monetary relief|Yes||13417368
47|09/29/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account information incorrect|Despite repeated attempts to resolve these matters, Experian continues to allow damaging inaccuracies to persist on my credit profile. These unresolved errors are more than just frustratingthey are unjust, and they are actively interfering with my ability to move forward financially. Every time I apply for a loan, a credit card, or any financial opportunity, these incorrect entries stand as barriers that I shouldnt have to face. It is unacceptable that after multiple disputes, you still havent taken the appropriate steps to ensure your data is correct. Under the Fair Credit Reporting Act, you are legally required to verify every single reported item with original, legitimate documentation. If you can not confirm the accuracy of these records with credible, dated evidence, then these entries have no place on my report and must be removed immediately. I am demanding that you conduct a thorough reinvestigationnot a generic response, not a rubber-stamped review, but a meaningful audit backed by proper documentation. Continued delays and inaction will be treated as a deliberate and unlawful disregard of your obligations under federal law. Ive been more than patient, but my patience has run out.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|CA|95122||Consent provided|Web|09/29/25|Closed with explanation|Yes||16239332
48|11/18/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account information incorrect|I have found these unverified items on my credit report and I'm asking for these items to be removed as it will affect my credit standing.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|MA|027XX||Consent provided|Web|11/18/25|Closed with non-monetary relief|Yes||17336789
49|10/24/25|Credit card|General-purpose credit card or charge card|Fees or interest|Problem with fees|I opened a new XXXX XXXX XXXX XXXX XXXX account managed by Synchrony Bank. My first payment of {$29.00} on XX/XX/year>, was returned, even though my bank information was correct and the account was active. Synchrony then reversed the payment and charged a {$29.00} fee. I believe this was caused by a system or processing error, not a consumer fault, and I am requesting a refund of the {$29.00} fee. I contacted Synchronys customer care to resolve the issue and was told to reach out to my bank, but my financial institution confirmed no problem on their end. Please review this case under the Fair Credit Billing Act.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|SYNCHRONY FINANCIAL|WA|98004||Consent provided|Web|11/19/25|Closed with explanation|Yes||16791014
50|07/05/22|Credit reporting, credit repair services, or other personal consumer reports|Credit reporting|Problem with a credit reporting company's investigation into an existing problem|Their investigation did not fix an error on your report|On my credit report is an item from XXXX XXXX XXXX and XXXX XXXX XXXX. In both of these instances I have spoken with the agency and both have assured me they have reached out on my behalf to clear these items from my report. I have disputed these items as well as letting the credit bureaus know that I have reached out. The bureaus continue to come back with these on my report despite the fact the both XXXX XXXX and XXXX XXXX have assured me that they put in the forms to have these removed. This is an unethical practice and needs to be fixed.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|AZ|85374||Consent provided|Web|07/05/22|Closed with explanation|Yes||5736633
51|11/28/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|"This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you -- credit reporting agency, block information appearing on my consumer credit report that is the result of identity theft and fraud within XXXX business days of you receiving this complaint. I am concerned about the validity and accuracy of your recent investigation of these accounts that are reporting on my credit report. Last month I requested an investigation because I felt the item was not being reported legally. Couple of days ago I received a letter stating that you have ceased investigation of my credit reports because, in your opinion, you believe that I have used a third party credit repair agency. Not only do I believe this to be a stall tactic on your part to grant you an additional XX/XX/XXXX days to comply with my original request, but I believe it to be a blatant violation of the FCRA. 

I have attached a copy of my government issued ID as well as mail showing proof of address. So, there shouldnt be any confusion or stall tactics on your end."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|IL|60411||Consent provided|Web|11/28/25|Closed with explanation|Yes||17577518
52|10/16/23|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|I'm really not sure what happened. I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response. My name is XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved. Please review the uploaded letters.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|MS|386XX||Consent provided|Web|10/16/23|Closed with explanation|Yes||7702116
53|09/12/25|Debt collection|Other debt|Written notification about debt|Notification didn't disclose it was an attempt to collect a debt|There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.||EQUIFAX, INC.|KY|40047||Consent provided|Web|09/12/25|Closed with non-monetary relief|Yes||15914620
54|09/01/23|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Credit inquiries on your report that you don't recognize|"Recently, I did an investigation on my credit report which caused severe XXXX upon me and found unverifiable, invalidated, inaccurate and questionable items that XXXX didnt make sure it was reporting 100 % correct. 
In accordance with the Fair Credit Reporting Act, everything has to be 100 % accurate on my credit report and under 15 U.S code 1681 e ( b ) and 15 U.S code 1681i ( 5 ) these accounts are in violations of not reporting 100 % accurate."||EQUIFAX, INC.|NY|10009||Consent provided|Web|09/01/23|Closed with non-monetary relief|Yes||7480494
55|11/24/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with fraud alerts or security freezes||I would like to request the removal of the security freeze on my credit report to allow authorized financial institutions to access my credit history. This is necessary for the processing of my loan application, which requires a review of my creditworthiness and financial standing. Please proceed with lifting the freeze as soon as possible to ensure a smooth and timely evaluation of my application.||LEXISNEXIS|TN|377XX||Consent provided|Web|11/24/25|Closed with explanation|Yes||17476137
56|04/09/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account status incorrect|I affirm that the inclusion of incorrectly reported late payment remarks on my accounts is a breach of the 15 USC 1666. Every payment linked to these accounts has been promptly made, and any departure from this precise reporting is unjust and unlawful.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|IL|60133||Consent provided|Web|04/09/25|Closed with explanation|Yes||12895018
57|01/21/23|Mortgage|VA mortgage|Applying for a mortgage or refinancing an existing mortgage||"In 2010 I had a VA mortgage on my home in XXXX XXXX, NV through Wells Fargo. When the housing values dropped out and the government gave money to financial institutions so homeowners could refinance their homes at fair market value I was turned down for refinancing through Wells Fargo. I called and offered to refinance my home at twice the fair market value and was told numerous times "" no. '' Wells Fargo told me they would start foreclosure proceedings if I didn't make my payments. I was current on all my payments until this point. I told them I would honor my mortgage contract by surrendering my home since I wasn't going to make payments on it. They told me they don't want the home, I told them I didn't either. They started the foreclosure process but before it finalized they called and encouraged me to do a "" short sale. '' I told them I didn't know what a short sale was, they explained it to me. They never told me it would damage my credit or impact my future buying power with the VA, they just told me it's a way to avoid foreclosure. I didn't know any better so I agreed to it. They accepted a buying offer of approx. XXXX which was much less than the XXXX I offered to refinance it for myself. I felt I was extremely mistreated by Wells Fargo during this process and still today have a reduced amount the VA will guarantee a home purchase for since this transaction in 2010 with Wells Fargo."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|WELLS FARGO & COMPANY|NV|89084|Servicemember|Consent provided|Web|01/21/23|Closed with explanation|Yes||6466313
58|05/09/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"XXXX XXXX XXXX play a crucial role in gathering and assessing consumer credit information. However, they must exercise their responsibilities with fairness, impartiality, and respect for the consumers right to privacy. The banking system relies on accurate and fair credit reporting, and when these reporting methods are unfair, it undermines public trust, which is vital for the system 's stability. I never gave my explicit, written consent for these agencies to report my information, which is a violation of 15 U.S. Code 1681b ( 2 ). This violation has led to an alleged case of identity theft, breaching 15 U.S. Code 1681c-2. The accounts in question are not related to any transactions made by me. 

The Fair Debt Collection Practices Act was created to ensure that laws and procedures are in place to protect consumers from abusive, deceptive, and unfair practices by debt XXXX. In this case, the company has violated 15 U.S. Code 1692f, which prohibits debt XXXX from using unfair or unconscionable means to collect a debt. Specifically, they can not collect any amounts that arent explicitly authorized by the agreement or allowed by law. Additionally, the company has violated 15 U.S. Code 1692e, which prohibits the use of false, deceptive, or misleading representations in debt collection efforts. This includes using deceptive methods to collect a debt or gather consumer information. Moreover, they are forbidden from contacting consumers at inconvenient times or places, or engaging in behavior that harasses or abuses consumers. 

In this case, the company has harassed me by claiming I owe a debt that I do not recognize as my responsibility. They have also contacted me at inconvenient times and places, in violation of the law. 

XXXX XXXX - XX/XX/XXXX - {$0.00} XXXX XXXXXXXX - XX/XX/XXXX - {$0.00} XXXX - XX/XX/XXXX - {$6200.00} XXXX - XX/XX/XXXX XXXX XXXX XXXXXX/XX/XXXX XXXX BANK - XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX XXXX AUTO - XX/XX/XXXX XXXX XXXX  XX/XX/XXXX XXXX - XX/XX/XXXX XXXX XXXX XXXXXX/XX/XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|GA|30043||Consent provided|Web|05/09/25|Closed with explanation|Yes||13424520
59|10/16/23|Debt collection|Medical debt|Attempts to collect debt not owed|Debt is not yours|I have never resided at this address listed and also I was incarcerated during this time. The municipal court is responsible for all hospital debts during my incarceration.||Central States Recovery, Inc.|KS|67501||Consent provided|Web|10/16/23|Closed with explanation|Yes||7702616
60|09/26/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|This business has performed Identity theft. I did not give this business permission to access or use my personal information or access my credit report. I received a copy of my credit report this year. I noticed there were fraudulent accounts on my report. ( XXXX XXXX XXXX XXXX XXXX XXXX XXXX  ) Identity theft means a fraud committed or attempted using the identifying information of another person without authority ). Which is hindering my ability to obtain credit.||EQUIFAX, INC.|PA|19138||Consent provided|Web|09/26/25|Closed with explanation|Yes||16214592
